regNumber,img,title,labels,class_predict,class_true
17573457,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x428 at 0x7F6D980A5E40>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/17573457_1.jpg,-1,2.0,1.0
26623908,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x533 at 0x7F6D980A7040>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/26623908_1.jpg,-1,1.0,1.0
14574406,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x475 at 0x7F6D980F1CF0>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/14574406_1.jpg,-1,2.0,1.0
40088955,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x525 at 0x7F6D98DBB9D0>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/40088955_1.jpg,-1,1.0,1.0
20408349,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=709x591 at 0x7F6D980F2170>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/20408349_1.jpg,-1,1.0,1.0
15253253,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x531 at 0x7F6D980F2A40>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/15253253_1.jpg,-1,1.0,1.0
11250941,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x574 at 0x7F6D980F2BF0>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250941_1.jpg,-1,2.0,1.0
17123680,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=799x571 at 0x7F6D980F2DA0>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17123680_1.jpg,-1,1.0,1.0
17333401,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x600 at 0x7F6D980F3040>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17333401_1.jpg,-1,1.0,1.0
18619650,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x574 at 0x7F6D980F30D0>,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/18619650_1.jpg,-1,1.0,1.0
